# Temporary trajectory realization generation debug export
# RealizationNumberOneBased	21
# RealizationIndexZeroBased	20
# NormalizedGaussian	0.77762773192494916	-0.21829115994370557	-0.40452649651302192
Stage	StationIndex	CandidateIndex	Selected	SmoothnessScore	ReferenceMD	ReferenceIncl	ReferenceAz	ReferenceX	ReferenceY	ReferenceZ	MD	Abscissa	Incl	Az	X	Y	Z	TVD	North	East	DLS	BUR	TUR	VSect
incremental-md-incl-az-selected	4		True	0.0095491385830438359	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	50.987302938808682	50.987302938808682	0.012329320946468162	3.3334579262071249	6535283.6533351783	328656.73500037187	50.977884463827856	50.977884463827856	6535283.6533351783	328656.73500037187	0.00026008669062421399	0.00023491337059269868	-0.009054088182702813	1.4283642419709324
raw-covariance-spherical-candidate	5	0	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535283.7636031825	328658.06075019686	100.49230601703007	100.49230601703007	6535283.7636031825	328658.06075019686				
incremental-md-incl-az-candidate	5	0	False	0.00093878031939975681	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	100.52828864599995	100.52828864599995	0.058287748402944928	1.282681723307795	6535283.7636031825	328658.06075019686	100.49230601703007	100.49230601703007	6535283.7636031825	328658.06075019686	0.0013101885786618573	0.0012914240356286244	-0.0037927915626845277	2.7586918825218407
raw-covariance-spherical-candidate	5	1	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535282.9274447504	328657.41281094454	100.49366796639447	100.49366796639447	6535282.9274447504	328657.41281094454				
incremental-md-incl-az-candidate	5	1	False	0.00045881535342395807	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	100.51522231933112	100.51522231933112	0.034348100603850532	2.0956177169416135	6535282.9274447504	328657.41281094454	100.49366796639447	100.49366796639447	6535282.9274447504	328657.41281094454	0.00065579171632667709	0.00061210835983274703	-0.0068530387525633785	2.4215128137541755
raw-covariance-spherical-candidate	5	2	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535283.9454933684	328657.82602228789	100.49200308815958	100.49200308815958	6535283.9454933684	328657.82602228789				
incremental-md-incl-az-candidate	5	2	False	0.00066851717169480462	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	100.52188485831192	100.52188485831192	0.05220486991720507	1.095131583350702	6535283.9454933684	328657.82602228789	100.49200308815958	100.49200308815958	6535283.9454933684	328657.82602228789	0.0012236939176534152	0.0012079540416404244	-0.0037491884545381993	2.5578266049123961
raw-covariance-spherical-candidate	5	3	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535283.7645160109	328658.06074034033	101.04804065073353	101.04804065073353	6535283.7645160109	328658.06074034033				
incremental-md-incl-az-candidate	5	3	False	0.00091357845359729684	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	101.08377900429245	101.08377900429245	0.05771444626644659	1.2799731044787217	6535283.7645160109	328658.06074034033	101.04804065073353	101.04804065073353	6535283.7645160109	328658.06074034033	0.0012849119227359934	0.001266251715405925	-0.0037825439842986697	2.7587580338573749
raw-covariance-spherical-candidate	5	4	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535283.1093349364	328657.17808303557	100.49336503752397	100.49336503752397	6535283.1093349364	328657.17808303557				
